"sample","timestamp","backend_cpu_pct","backend_rss_mb","ui_cpu_pct","ui_rss_mb","queue_depth","delayed_depth","pending_dispatches","pending_receipts","enqueued_total","dropped_total","retries_total"
"0","2026-04-07T08:41:46.2384993-03:00","0","164.34","0","150.48","0","0","0","0","0","0","0"
"1","2026-04-07T08:41:46.9166511-03:00","0","164.3","0","150.48","0","0","0","0","0","0","0"
"2","2026-04-07T08:41:47.4570906-03:00","0","164.3","0","150.48","0","0","0","0","0","0","0"
"3","2026-04-07T08:41:47.9832998-03:00","0.37","164.3","0","150.48","0","0","0","0","0","0","0"
"4","2026-04-07T08:41:48.5221113-03:00","0","164.3","0","150.48","0","0","0","0","0","0","0"
"5","2026-04-07T08:41:49.0616767-03:00","0.36","164.3","0","150.48","0","0","0","0","0","0","0"
"6","2026-04-07T08:41:49.5862814-03:00","0.37","164.3","0","150.48","0","0","0","0","0","0","0"
"7","2026-04-07T08:41:50.1145323-03:00","0","164.3","0","150.48","0","0","0","0","0","0","0"
"8","2026-04-07T08:41:50.6574492-03:00","30.58","164.62","0","150.48","0","0","0","0","0","0","0"
"9","2026-04-07T08:41:52.6959419-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"10","2026-04-07T08:41:53.2344445-03:00","0.36","164.62","0","150.48","0","0","0","0","0","0","0"
"11","2026-04-07T08:41:53.7596189-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"12","2026-04-07T08:41:54.2934383-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"13","2026-04-07T08:41:54.8234306-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"14","2026-04-07T08:41:55.3582277-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"15","2026-04-07T08:41:55.8833779-03:00","0.37","164.62","0","150.48","0","0","0","0","0","0","0"
"16","2026-04-07T08:41:56.4231789-03:00","0.36","164.62","0","150.48","0","0","0","0","0","0","0"
"17","2026-04-07T08:41:56.9529728-03:00","0","164.62","0.37","150.48","0","0","0","0","0","0","0"
"18","2026-04-07T08:41:57.4765203-03:00","0.37","164.62","0","150.48","0","0","0","0","0","0","0"
"19","2026-04-07T08:41:58.0143629-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"20","2026-04-07T08:41:58.5402199-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"21","2026-04-07T08:41:59.0790298-03:00","0.36","164.64","0","150.48","0","0","0","0","0","0","0"
"22","2026-04-07T08:41:59.6179155-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
"23","2026-04-07T08:42:00.1402194-03:00","0","164.62","0","150.48","0","0","0","0","0","0","0"
