"sample","timestamp","backend_cpu_pct","backend_rss_mb","ui_cpu_pct","ui_rss_mb","queue_depth","delayed_depth","pending_dispatches","pending_receipts","worker_count","enqueued_total","dropped_total","retries_total"
"0","2026-04-07T08:56:33.0810160-03:00","0","150.49","0","139.93","0","0","0","1","4","2","0","1"
"1","2026-04-07T08:56:33.7533501-03:00","0.58","150.49","0","139.93","0","0","0","1","4","2","0","1"
"2","2026-04-07T08:56:34.2902884-03:00","0","150.49","0","139.93","0","0","0","1","4","2","0","1"
"3","2026-04-07T08:56:34.8175971-03:00","0.37","150.49","0","139.93","0","0","0","1","4","2","0","1"
"4","2026-04-07T08:56:35.3459335-03:00","0","150.49","0","139.93","0","0","0","1","4","2","0","1"
"5","2026-04-07T08:56:35.8735927-03:00","0.74","150.49","0","139.93","0","0","0","1","4","2","0","1"
"6","2026-04-07T08:56:36.3995354-03:00","1.49","150.49","0","139.93","0","0","0","1","4","2","0","1"
"7","2026-04-07T08:56:36.9428686-03:00","1.08","150.49","0","139.93","0","0","0","1","4","2","0","1"
"8","2026-04-07T08:56:37.4697469-03:00","1.85","150.49","0","139.93","0","0","0","2","4","3","0","1"
"9","2026-04-07T08:56:38.0295371-03:00","0","150.49","0","139.93","0","0","0","2","4","3","0","1"
"10","2026-04-07T08:56:38.5656790-03:00","0.73","150.49","0","139.93","0","0","0","2","4","3","0","1"
"11","2026-04-07T08:56:39.1033222-03:00","0.73","150.49","0","139.93","0","0","0","2","4","3","0","1"
"12","2026-04-07T08:56:39.6298802-03:00","1.48","150.49","0","139.93","0","0","0","2","4","3","0","1"
"13","2026-04-07T08:56:40.1552562-03:00","0.37","150.49","0","139.93","0","0","0","2","4","3","0","1"
"14","2026-04-07T08:56:40.6827145-03:00","0","150.49","0","139.93","0","0","0","2","4","3","0","1"
"15","2026-04-07T08:56:41.2113406-03:00","1.11","150.49","0","139.93","0","0","0","2","4","3","0","1"
"16","2026-04-07T08:56:41.7381474-03:00","2.22","150.49","0","139.99","0","1","0","1","4","3","0","2"
"17","2026-04-07T08:56:42.2780388-03:00","0","150.49","0","139.99","0","1","0","1","4","3","0","2"
"18","2026-04-07T08:56:42.8171993-03:00","0.36","150.49","0","139.99","0","0","0","2","4","4","0","2"
"19","2026-04-07T08:56:43.3428697-03:00","0.74","150.49","0","139.99","0","0","0","2","4","4","0","2"
"20","2026-04-07T08:56:43.8695062-03:00","1.11","150.49","0","139.99","0","0","0","2","4","4","0","2"
"21","2026-04-07T08:56:44.3992855-03:00","0","150.49","0","139.99","0","0","0","2","4","4","0","2"
"22","2026-04-07T08:56:44.9367712-03:00","1.09","150.49","0","139.99","0","0","0","2","4","4","0","2"
"23","2026-04-07T08:56:45.4619216-03:00","1.12","150.49","0","139.99","0","0","0","2","4","4","0","2"
